ESPECES;LEV_AMF;AMF_LAX;SEM_LEV;LEV_MAT;TBASE;TMAXDEV;PBASE;POPT;TFROID;AMPFROID;VBASE;VSAT;ADENS;CROIRAC;BDENS;LAICOMP;TCOUVMAX;PENTECOUVMAX;INFRECOUV;HMAX;HBASE;GRAINES_REC
BETTERAVE;500;1000;45;5250;2;25;infinity;infinity;infinity;infinity;1;1;-0.47;0.14;7;0.75;1;4.5;0.85;0.6;0;0
BLE;275;375;150;1232;0;28;6.3;20;6.5;10;7;38;-0.6;0.12;7;0.304;1;4.5;0.85;1.2;0;300
BLE_DUR;305;463;150;1253;0;28;6.3;20;6.5;10;7;25;-0.6;0.12;7;0.304;1;4.5;0.85;1;0;300
MOUTARDE;250;500;27;3400;3.3;40;9;20;infinity;infinity;1;1;-0.82;0.078;7;0.2;0.4;7.6;1.8;1.5;0;0
RAY_GRASS;275;305;48;2980;4.6;38;8;20;infinity;infinity;1;1;-0.1964;0.0517;7;0.46;0.4;7.6;1.8;1;0;0
COLZA;500;650;120;2300;0;28;5.74;14.8;6.5;20;7;60;-0.82;0.12;7;0.304;1;4.5;0.85;2;0;500
MAIS;253;507;35;1435;6;28;infinity;infinity;infinity;infinity;1;1;-0.12;0.15;5;0;1;6.3;0.85;2.5;0;100
OH;190;250;50;1097;0;28;6.3;20;6.5;10;7;50;0.15;0;5;0.305;1;4.5;0.85;0.8;0;300
OP;190;247;50;1097;0;28;6.3;20;infinity;infinity;1;1;-0.508;0.13;5;0.305;1;4.5;0.85;0.8;0;300
PDT;150;700;80;3550;2;25;infinity;infinity;infinity;infinity;1;1;-0.41;0.09;7;0.304;1;4.5;0.85;0.6;0;0
POIS;150;418;150;1130;0;25;infinity;infinity;infinity;infinity;1;1;-0.45;0.088;10;0;1;4.5;0.85;0.8;0;100
PRAIRIE;116;3500;50;1400;0;30;8;20;infinity;infinity;1;1;-0.6;0.06;7;0.304;1;4.5;0.85;0.3;0.02;0
TSOL;370;470;90;1640;6;32;infinity;infinity;infinity;infinity;1;1;-0.8;0.25;5;0.3;1;6.3;0.85;1.6;0;100
LIN;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;0
LUZ;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;0
FEV;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;infinity;100
