libelle_occup;Surface;Date-semis;Date-recolte-observee;Date-recolte-simulee;
BLE;30;9;10/10/2001;05/08/2002;299
BLE;16;1;15/10/2001;01/08/2002;290
BLE;36;2;15/10/2001;05/08/2002;294
BLE;4;9;15/10/2001;08/08/2002;297
BLE;7;9;15/10/2001;10/08/2002;299
BLE;39;9;15/10/2001;15/08/2002;304
BLE;18;8;18/10/2001;05/08/2002;291
BLE;6;0;20/10/2001;05/08/2002;289
BLE;13;6;25/10/2001;03/08/2002;282
BLE;13;7;25/10/2001;05/08/2002;284
BLE;0;6;25/10/2001;15/08/2002;294
BLE;34;0;27/10/2001;10/08/2002;287
BLE;32;6;30/10/2001;25/07/2002;268
BLE;11;8;08/11/2001;13/08/2002;278
BLE;5;8;01/01/2002;08/08/2002;219
BLE;3;3;15/09/2002;15/08/2003;334
BLE;6;5;09/10/2002;25/07/2003;289
BLE;14;2;10/10/2002;05/08/2003;299
BLE;28;7;10/10/2002;08/08/2003;302
BLE;4;2;10/10/2002;10/08/2003;304
BLE;22;7;15/10/2002;01/08/2003;290
BLE;25;9;15/10/2002;05/08/2003;294
BLE;11;7;15/10/2002;10/08/2003;299
BLE;23;1;15/10/2002;15/08/2003;304
BLE;5;4;18/10/2002;08/08/2003;294
BLE;4;5;20/10/2002;05/08/2003;289
BLE;9;1;25/10/2002;03/08/2003;282
BLE;19;3;25/10/2002;05/08/2003;284
BLE;4;5;25/10/2002;15/08/2003;294
BLE;38;3;27/10/2002;10/08/2003;287
BLE;30;0;30/10/2002;25/07/2003;268
BLE;9;7;08/11/2002;13/08/2003;278
BLE;3;8;20/11/2002;10/08/2003;263
BLE;4;5;25/11/2002;15/08/2003;263
BLE;9;1;10/10/2003;05/08/2004;300
BLE;22;3;10/10/2003;08/08/2004;303
BLE;4;7;10/10/2003;10/08/2004;305
BLE;26;4;15/10/2003;01/08/2004;291
BLE;49;4;15/10/2003;05/08/2004;295
BLE;6;3;15/10/2003;10/08/2004;300
BLE;29;9;15/10/2003;15/08/2004;305
BLE;18;8;18/10/2003;05/08/2004;292
BLE;1;8;18/10/2003;08/08/2004;295
BLE;4;9;20/10/2003;05/08/2004;290
BLE;8;1;25/10/2003;01/08/2004;281
BLE;10;3;25/10/2003;03/08/2004;283
BLE;6;8;25/10/2003;05/08/2004;285
BLE;3;3;25/10/2003;15/08/2004;295
BLE;34;0;27/10/2003;10/08/2004;288
BLE;12;6;30/10/2003;25/07/2004;269
BLE;8;9;08/11/2003;13/08/2004;279
BLE;4;0;20/11/2003;10/08/2004;264
BLE;3;7;25/11/2003;15/08/2004;264
BLE;4;0;09/10/2004;25/07/2005;289
BLE;30;9;10/10/2004;05/08/2005;299
BLE;24;2;10/10/2004;08/08/2005;302
BLE;18;1;15/10/2004;01/08/2005;290
BLE;25;8;15/10/2004;05/08/2005;294
BLE;4;9;15/10/2004;10/08/2005;299
BLE;30;7;15/10/2004;15/08/2005;304
BLE;2;9;18/10/2004;08/08/2005;294
BLE;6;0;20/10/2004;05/08/2005;289
BLE;13;6;25/10/2004;03/08/2005;282
BLE;13;1;25/10/2004;05/08/2005;284
BLE;3;0;25/10/2004;15/08/2005;294
BLE;38;3;27/10/2004;10/08/2005;287
BLE;28;7;30/10/2004;25/07/2005;268
BLE;2;5;05/11/2004;05/08/2005;273
BLE;10;8;08/11/2004;13/08/2005;278
BLE;5;9;20/11/2004;10/08/2005;263
BLE;3;9;25/11/2004;15/08/2005;263
BLE;11;8;09/10/2005;25/07/2006;289
BLE;20;6;10/10/2005;05/08/2006;299
BLE;12;5;10/10/2005;08/08/2006;302
BLE;4;2;10/10/2005;10/08/2006;304
BLE;14;7;15/10/2005;01/08/2006;290
BLE;31;5;15/10/2005;05/08/2006;294
BLE;14;1;15/10/2005;10/08/2006;299
BLE;15;3;15/10/2005;15/08/2006;304
BLE;18;8;18/10/2005;05/08/2006;291
BLE;4;9;18/10/2005;08/08/2006;294
BLE;2;0;20/10/2005;05/08/2006;289
BLE;6;7;25/10/2005;01/08/2006;280
BLE;10;8;25/10/2005;03/08/2006;282
BLE;4;1;25/10/2005;05/08/2006;284
BLE;6;2;25/10/2005;15/08/2006;294
BLE;29;4;27/10/2005;10/08/2006;287
BLE;4;6;27/10/2005;08/10/2006;346
BLE;24;7;30/10/2005;25/07/2006;268
BLE;6;2;05/11/2005;05/08/2006;273
BLE;7;2;08/11/2005;13/08/2006;278
BLE;3;9;20/11/2005;10/08/2006;263
