libelle_occup;Surface;Date-semis;Date-recolte-observee;Date-recolte-simulee;
BETTERAVE;5;2;15/03/2002;14/10/2002;213
BETTERAVE;1;8;25/03/2002;18/10/2002;207
BETTERAVE;2;5;07/04/2002;15/10/2002;191
BETTERAVE;3;0;07/04/2003;20/10/2003;196
BETTERAVE;4;5;15/03/2004;14/10/2004;213
BETTERAVE;4;1;07/04/2004;20/10/2004;196
BETTERAVE;5;1;15/03/2005;14/10/2005;213
BETTERAVE;2;5;07/04/2005;15/10/2005;191
BETTERAVE;1;5;07/04/2005;20/10/2005;196
BETTERAVE;5;8;15/03/2006;14/10/2006;213
BETTERAVE;8;8;07/04/2006;15/10/2006;191
BETTERAVE;5;5;15/03/2007;14/10/2007;213
BETTERAVE;1;0;07/04/2007;05/11/2007;212
BETTERAVE;2;6;15/04/2009;02/11/2009;201
BETTERAVE;2;3;15/04/2009;15/11/2009;214
BETTERAVE;4;4;20/03/2012;01/01/2013;287
BETTERAVE;23;7;05/04/2002;15/10/2002;193
BETTERAVE;9;0;05/04/2002;25/10/2002;203
BETTERAVE;4;5;05/04/2002;15/11/2002;224
BETTERAVE;13;1;06/04/2002;15/10/2002;192
BETTERAVE;7;2;10/04/2002;25/10/2002;198
BETTERAVE;3;8;10/04/2002;07/11/2002;211
BETTERAVE;2;3;13/04/2002;05/11/2002;206
BETTERAVE;5;5;15/03/2003;08/10/2003;207
BETTERAVE;6;9;25/03/2003;18/10/2003;207
BETTERAVE;8;7;05/04/2003;15/10/2003;193
BETTERAVE;19;2;05/04/2003;25/10/2003;203
BETTERAVE;3;7;05/04/2003;15/11/2003;224
BETTERAVE;4;0;10/04/2003;07/11/2003;211
BETTERAVE;2;4;13/04/2003;05/11/2003;206
BETTERAVE;8;7;15/04/2003;15/10/2003;183
BETTERAVE;11;2;05/04/2004;05/10/2004;183
BETTERAVE;12;0;05/04/2004;15/10/2004;193
BETTERAVE;3;9;05/04/2004;15/11/2004;224
BETTERAVE;5;9;10/04/2004;07/11/2004;211
BETTERAVE;2;2;13/04/2004;05/11/2004;206
BETTERAVE;14;7;15/04/2004;15/10/2004;183
BETTERAVE;24;8;25/03/2005;15/10/2005;204
BETTERAVE;4;9;25/03/2005;18/10/2005;207
BETTERAVE;24;8;05/04/2005;15/10/2005;193
BETTERAVE;2;9;05/04/2005;15/11/2005;224
BETTERAVE;6;7;10/04/2005;25/10/2005;198
BETTERAVE;3;9;10/04/2005;07/11/2005;211
BETTERAVE;16;0;15/04/2005;15/10/2005;183
BETTERAVE;10;7;25/03/2006;15/10/2006;204
BETTERAVE;10;8;25/03/2006;18/10/2006;207
BETTERAVE;3;8;05/04/2006;15/10/2006;193
BETTERAVE;3;4;05/04/2006;15/11/2006;224
BETTERAVE;5;3;10/04/2006;25/10/2006;198
BETTERAVE;3;9;10/04/2006;07/11/2006;211
BETTERAVE;1;1;13/04/2006;05/11/2006;206
BETTERAVE;14;3;15/04/2006;15/10/2006;183
BETTERAVE;1;6;25/03/2007;15/10/2007;204
BETTERAVE;6;7;05/04/2007;05/11/2007;214
BETTERAVE;3;6;05/04/2007;10/11/2007;219
BETTERAVE;12;0;06/04/2007;15/10/2007;192
BETTERAVE;5;8;10/04/2007;25/10/2007;198
BETTERAVE;3;4;10/04/2007;07/11/2007;211
BETTERAVE;2;0;13/04/2007;15/11/2007;216
BETTERAVE;7;4;15/04/2007;02/10/2007;170
BETTERAVE;5;2;25/03/2008;07/11/2008;227
BETTERAVE;2;1;01/04/2008;20/10/2008;202
BETTERAVE;4;7;03/04/2008;07/10/2008;187
BETTERAVE;2;8;05/04/2008;10/08/2008;127
BETTERAVE;10;5;11/04/2008;03/10/2008;175
BETTERAVE;1;5;12/04/2008;13/10/2008;184
BETTERAVE;4;4;15/04/2008;08/10/2008;176
BETTERAVE;7;9;17/04/2008;05/11/2008;202
BETTERAVE;3;4;19/04/2008;31/10/2008;195
BETTERAVE;2;1;04/05/2008;30/11/2008;210
BETTERAVE;3;7;01/02/2009;30/09/2009;241
BETTERAVE;15;2;17/03/2009;10/10/2009;207
BETTERAVE;8;4;20/03/2009;06/08/2009;139
BETTERAVE;17;9;20/03/2009;10/10/2009;204
BETTERAVE;2;5;20/03/2009;16/10/2009;210
BETTERAVE;2;4;05/04/2009;20/10/2009;198
BETTERAVE;11;1;15/04/2009;20/10/2009;188
BETTERAVE;4;4;15/04/2009;02/11/2009;201
BETTERAVE;5;5;20/04/2009;11/10/2009;174
BETTERAVE;3;9;01/03/2010;15/10/2010;228
BETTERAVE;6;7;11/03/2010;05/11/2010;239
BETTERAVE;7;8;15/03/2010;10/10/2010;209
BETTERAVE;5;1;16/03/2010;05/10/2010;203
BETTERAVE;3;1;16/03/2010;08/10/2010;206
BETTERAVE;8;5;16/03/2010;08/11/2010;237
BETTERAVE;7;7;17/03/2010;11/10/2010;208
BETTERAVE;3;6;17/03/2010;16/10/2010;213
BETTERAVE;4;5;17/03/2010;22/11/2010;250
BETTERAVE;5;3;18/03/2010;25/09/2010;191
BETTERAVE;3;2;20/03/2010;30/10/2010;224
BETTERAVE;17;2;15/03/2011;24/10/2011;223
BETTERAVE;9;6;16/03/2011;25/09/2011;193
BETTERAVE;0;8;16/03/2011;29/09/2011;197
BETTERAVE;3;6;28/03/2011;27/09/2011;183
BETTERAVE;6;9;15/03/2012;19/10/2012;218
BETTERAVE;15;8;21/03/2012;10/11/2012;234
BETTERAVE;3;7;24/03/2012;10/10/2012;200
BETTERAVE;1;1;25/03/2012;06/11/2012;226
BETTERAVE;13;7;26/03/2012;05/11/2012;224
BETTERAVE;3;8;08/04/2012;18/11/2012;224
BETTERAVE;4;1;10/04/2012;26/11/2012;230
BETTERAVE;3;4;12/04/2012;13/12/2012;245
BETTERAVE;1;2;20/05/2012;01/12/2012;195
BLE;30;9;10/10/2001;05/08/2002;299
BLE;16;1;15/10/2001;01/08/2002;290
BLE;36;2;15/10/2001;05/08/2002;294
BLE;4;9;15/10/2001;08/08/2002;297
BLE;7;9;15/10/2001;10/08/2002;299
BLE;39;9;15/10/2001;15/08/2002;304
BLE;18;8;18/10/2001;05/08/2002;291
BLE;6;0;20/10/2001;05/08/2002;289
BLE;13;6;25/10/2001;03/08/2002;282
BLE;13;7;25/10/2001;05/08/2002;284
BLE;0;6;25/10/2001;15/08/2002;294
BLE;34;0;27/10/2001;10/08/2002;287
BLE;32;6;30/10/2001;25/07/2002;268
BLE;11;8;08/11/2001;13/08/2002;278
BLE;5;8;01/01/2002;08/08/2002;219
BLE;3;3;15/09/2002;15/08/2003;334
BLE;6;5;09/10/2002;25/07/2003;289
BLE;14;2;10/10/2002;05/08/2003;299
BLE;28;7;10/10/2002;08/08/2003;302
BLE;4;2;10/10/2002;10/08/2003;304
BLE;22;7;15/10/2002;01/08/2003;290
BLE;25;9;15/10/2002;05/08/2003;294
BLE;11;7;15/10/2002;10/08/2003;299
BLE;23;1;15/10/2002;15/08/2003;304
BLE;5;4;18/10/2002;08/08/2003;294
BLE;4;5;20/10/2002;05/08/2003;289
BLE;9;1;25/10/2002;03/08/2003;282
BLE;19;3;25/10/2002;05/08/2003;284
BLE;4;5;25/10/2002;15/08/2003;294
BLE;38;3;27/10/2002;10/08/2003;287
BLE;30;0;30/10/2002;25/07/2003;268
BLE;9;7;08/11/2002;13/08/2003;278
BLE;3;8;20/11/2002;10/08/2003;263
BLE;4;5;25/11/2002;15/08/2003;263
BLE;9;1;10/10/2003;05/08/2004;300
BLE;22;3;10/10/2003;08/08/2004;303
BLE;4;7;10/10/2003;10/08/2004;305
BLE;26;4;15/10/2003;01/08/2004;291
BLE;49;4;15/10/2003;05/08/2004;295
BLE;6;3;15/10/2003;10/08/2004;300
