Date;Tmin;Tmax;Tmoy;;;;;;;;
01/01/2000;6.8;9.6;8.8;;;;;;;;
02/01/2000;8.4;10.7;9.4;;;;;;;;
03/01/2000;8.6;10.5;9.5;;;;;;;;
04/01/2000;8.5;10.9;9;;;;;;;;
05/01/2000;4.4;9;6.9;;;;;;;;
06/01/2000;6.8;9.4;7.9;;;;;;;;
07/01/2000;5.7;9.5;6.9;;;;;;;;
08/01/2000;5.9;9.6;7.6;;;;;;;;
09/01/2000;1.6;7;3.7;;;;;;;;
10/01/2000;-1.9;6.8;1.8;;;;;;;;
11/01/2000;-0.4;4.6;0.8;;;;;;;;
12/01/2000;-2.3;0.9;-0.7;;;;;;;;
13/01/2000;-0.3;2.9;1.3;;;;;;;;
14/01/2000;1.9;6.6;3.9;;;;;;;;
15/01/2000;0;6.6;2.8;;;;;;;;
16/01/2000;-1.4;5.7;2.9;;;;;;;;
17/01/2000;1.7;6.6;4.6;;;;;;;;
18/01/2000;4.5;7.1;6.3;;;;;;;;
19/01/2000;4.5;6.5;5.4;;;;;;;;
20/01/2000;-0.6;5.7;3.5;;;;;;;;
21/01/2000;4;7.4;5.7;;;;;;;;
22/01/2000;2.1;7.4;5.5;;;;;;;;
23/01/2000;3.7;5.4;4.5;;;;;;;;
24/01/2000;0.4;6.1;2.1;;;;;;;;
25/01/2000;-4.9;3.8;-1.8;;;;;;;;
26/01/2000;-5;3.6;-1.6;;;;;;;;
27/01/2000;-5.6;4.2;-1.3;;;;;;;;
28/01/2000;-2.9;8.5;3.1;;;;;;;;
29/01/2000;4.9;11;9.2;;;;;;;;
30/01/2000;9.7;11;10.3;;;;;;;;
31/01/2000;9;11.3;9.7;;;;;;;;
01/02/2000;7.4;9.6;8.1;;;;;;;;
02/02/2000;6.2;8.8;6.9;;;;;;;;
03/02/2000;3.1;8.8;6.6;;;;;;;;
04/02/2000;5.7;9.2;6.8;;;;;;;;
05/02/2000;3.3;13.1;7.9;;;;;;;;
06/02/2000;5.2;11;8.5;;;;;;;;
07/02/2000;6.3;10.9;8.4;;;;;;;;
08/02/2000;8.6;12.6;9.8;;;;;;;;
09/02/2000;4.9;9.7;7.8;;;;;;;;
10/02/2000;4.5;9.8;6.2;;;;;;;;
11/02/2000;-0.2;9;4.7;;;;;;;;
12/02/2000;2.7;9.5;6.2;;;;;;;;
13/02/2000;4.1;9.5;6.1;;;;;;;;
14/02/2000;-0.2;10.4;6.7;;;;;;;;
15/02/2000;6.2;9.8;7.8;;;;;;;;
16/02/2000;2.5;7.2;5.5;;;;;;;;
17/02/2000;4.1;9.8;5.3;;;;;;;;
18/02/2000;4;10.9;8.5;;;;;;;;
19/02/2000;5.5;8.3;6.7;;;;;;;;
20/02/2000;0.1;8.1;3.2;;;;;;;;
21/02/2000;0;6.6;3.8;;;;;;;;
22/02/2000;0.6;7.7;4.7;;;;;;;;
23/02/2000;5.3;10.2;7.9;;;;;;;;
24/02/2000;8.8;12.6;10.8;;;;;;;;
25/02/2000;4.5;8.4;6.1;;;;;;;;
26/02/2000;-0.9;11;5.5;;;;;;;;
27/02/2000;4.6;16.2;10;;;;;;;;
28/02/2000;5.9;10;8.6;;;;;;;;
29/02/2000;5.2;11.1;7.5;;;;;;;;
01/03/2000;5.2;8.4;6.5;;;;;;;;
02/03/2000;1.4;9.9;6.3;;;;;;;;
03/03/2000;6.9;10.8;8.7;;;;;;;;
04/03/2000;3.1;6.1;4.3;;;;;;;;
05/03/2000;1.4;8.7;4.6;;;;;;;;
06/03/2000;1;9.5;6;;;;;;;;
07/03/2000;6.6;12.4;9.3;;;;;;;;
08/03/2000;8.6;14.2;10.8;;;;;;;;
09/03/2000;9.1;12.8;9.7;;;;;;;;
10/03/2000;8.9;10.7;9.4;;;;;;;;
11/03/2000;7.2;11;8.5;;;;;;;;
12/03/2000;1.9;13.1;6.9;;;;;;;;
13/03/2000;2.4;13.1;8;;;;;;;;
14/03/2000;7.7;11.8;9.6;;;;;;;;
15/03/2000;4.7;8.8;6.2;;;;;;;;
16/03/2000;3.6;10.9;7.8;;;;;;;;
17/03/2000;7.1;10.5;8.5;;;;;;;;
18/03/2000;6.4;10.4;7.5;;;;;;;;
19/03/2000;5.6;8.6;6.6;;;;;;;;
20/03/2000;2.4;11.8;6;;;;;;;;
21/03/2000;-0.5;15.2;6.7;;;;;;;;
22/03/2000;0.6;18.3;10;;;;;;;;
23/03/2000;6.9;16.8;11.9;;;;;;;;
24/03/2000;8.3;14.3;10.3;;;;;;;;
25/03/2000;6.9;12.3;7.9;;;;;;;;
26/03/2000;4;9.2;5.8;;;;;;;;
27/03/2000;2.4;8.3;5.3;;;;;;;;
28/03/2000;3.8;9.4;5.6;;;;;;;;
29/03/2000;2.1;6.6;4.9;;;;;;;;
30/03/2000;5.6;7.7;6.6;;;;;;;;
31/03/2000;5.7;7.5;6.2;;;;;;;;
01/04/2000;2.1;9.5;6.5;;;;;;;;
02/04/2000;4.9;13.8;10.2;;;;;;;;
03/04/2000;9.3;17.6;12.2;;;;;;;;
04/04/2000;4.1;7.8;6;;;;;;;;
05/04/2000;3.5;8;5.3;;;;;;;;
06/04/2000;0.6;10.3;5.5;;;;;;;;
07/04/2000;0.5;13.9;7.1;;;;;;;;
08/04/2000;0.2;16.4;8.5;;;;;;;;
09/04/2000;4.9;15.3;10;;;;;;;;
10/04/2000;6.3;12.6;7.7;;;;;;;;
11/04/2000;-0.7;9.7;4.6;;;;;;;;
12/04/2000;2;9.6;4.8;;;;;;;;
13/04/2000;0.7;8;4.5;;;;;;;;
14/04/2000;2.7;11.7;6.8;;;;;;;;
15/04/2000;5.8;9.5;6.8;;;;;;;;
16/04/2000;1.6;11.5;7.7;;;;;;;;
17/04/2000;5.7;13.3;9.2;;;;;;;;
18/04/2000;6.2;16.1;10.7;;;;;;;;
19/04/2000;8.6;16.2;11.7;;;;;;;;
20/04/2000;11.9;19.1;13.7;;;;;;;;
21/04/2000;8.3;17.5;12.8;;;;;;;;
22/04/2000;10.8;17.8;12.5;;;;;;;;
23/04/2000;9;13.7;10;;;;;;;;
24/04/2000;6.4;15.7;11.8;;;;;;;;
25/04/2000;9.8;19.6;13.5;;;;;;;;
26/04/2000;9.8;15.6;11.3;;;;;;;;
27/04/2000;7.3;13.6;10.4;;;;;;;;
28/04/2000;8.9;13.9;10.3;;;;;;;;
29/04/2000;4.5;16.3;10.5;;;;;;;;
30/04/2000;7.2;16.6;12.2;;;;;;;;
01/05/2000;8.7;13.6;11;;;;;;;;
02/05/2000;9;10.7;9.6;;;;;;;;
03/05/2000;8.8;10.9;9.4;;;;;;;;
04/05/2000;9;11.7;10.2;;;;;;;;
05/05/2000;9.3;15.6;11.5;;;;;;;;
06/05/2000;9.6;25.4;17.1;;;;;;;;
07/05/2000;11.2;21.4;16.2;;;;;;;;
08/05/2000;11.1;22.9;16.2;;;;;;;;
09/05/2000;10.7;23.2;15.2;;;;;;;;
10/05/2000;11.1;21;15.3;;;;;;;;
11/05/2000;14.7;24.3;17.1;;;;;;;;
12/05/2000;11.4;20.6;15.2;;;;;;;;
13/05/2000;11.9;18.3;13.5;;;;;;;;
14/05/2000;10.9;20.7;15.3;;;;;;;;
15/05/2000;14.2;26.4;20.5;;;;;;;;
16/05/2000;13;23.3;16.2;;;;;;;;
17/05/2000;9.8;14.6;11.7;;;;;;;;
18/05/2000;9.4;14.1;11.3;;;;;;;;
19/05/2000;9;13.6;10.8;;;;;;;;
20/05/2000;7.9;15.4;11.7;;;;;;;;
21/05/2000;10;13.8;11.3;;;;;;;;
22/05/2000;9.8;16.8;13.2;;;;;;;;
23/05/2000;11.7;18.6;15;;;;;;;;
24/05/2000;11.7;15.6;13.9;;;;;;;;
25/05/2000;10.4;14.9;12;;;;;;;;
26/05/2000;8.3;17.4;13;;;;;;;;
27/05/2000;7.4;15.3;10.8;;;;;;;;
28/05/2000;9;13.9;10.9;;;;;;;;
29/05/2000;7.8;14.7;11.1;;;;;;;;
30/05/2000;7.6;12.2;10.6;;;;;;;;
31/05/2000;7.5;18.5;13.4;;;;;;;;
01/06/2000;12.6;21.6;15.2;;;;;;;;
02/06/2000;9.7;19.9;14.4;;;;;;;;
03/06/2000;12.1;16.8;14.2;;;;;;;;
04/06/2000;11.5;17.2;13.4;;;;;;;;
05/06/2000;9.5;14.2;11.8;;;;;;;;
06/06/2000;10.8;16.4;13.1;;;;;;;;
07/06/2000;9.4;17.8;13.7;;;;;;;;
08/06/2000;9.3;24.3;17.9;;;;;;;;
09/06/2000;14.8;22.4;16.8;;;;;;;;
10/06/2000;10.6;16.2;12.2;;;;;;;;
11/06/2000;7.5;16.9;12.5;;;;;;;;
12/06/2000;10;20.9;14.8;;;;;;;;
13/06/2000;12.6;16.7;14.3;;;;;;;;
14/06/2000;12.4;21.6;15.2;;;;;;;;
15/06/2000;12.7;16.9;14.4;;;;;;;;
