Date;Tmin;Tmax;Tmoy;mois;annee;;;;;;
01/01/2001;1.6;9.2;7.4;1;2001;;;;;;
02/01/2001;8.2;11.8;9.7;1;2001;;;;;;
03/01/2001;4.9;10.2;7.3;1;2001;;;;;;
04/01/2001;7.8;10.3;8.7;1;2001;;;;;;
05/01/2001;7.6;10.9;8.8;1;2001;;;;;;
06/01/2001;5.7;9.1;6.8;1;2001;;;;;;
07/01/2001;3.8;7.8;5.2;1;2001;;;;;;
08/01/2001;2.3;6.6;4.6;1;2001;;;;;;
09/01/2001;1.7;5;3;1;2001;;;;;;
10/01/2001;2.2;8.9;5.8;1;2001;;;;;;
11/01/2001;5.2;6;5.6;1;2001;;;;;;
12/01/2001;1.6;4.8;2.9;1;2001;;;;;;
13/01/2001;-0.5;4.6;1.6;1;2001;;;;;;
14/01/2001;-1.3;6;1.1;1;2001;;;;;;
15/01/2001;-4.1;1.4;-0.8;1;2001;;;;;;
16/01/2001;-0.7;4.6;1.5;1;2001;;;;;;
17/01/2001;0.6;5.3;2.3;1;2001;;;;;;
18/01/2001;0.6;5.2;1.6;1;2001;;;;;;
19/01/2001;-2.4;4.1;0.2;1;2001;;;;;;
20/01/2001;-0.7;4.5;1.3;1;2001;;;;;;
21/01/2001;-1.2;10.7;4.8;1;2001;;;;;;
22/01/2001;7.4;9.9;8.8;1;2001;;;;;;
23/01/2001;5.1;13.6;9;1;2001;;;;;;
24/01/2001;6.9;9.6;8.9;1;2001;;;;;;
25/01/2001;4.7;10;7;1;2001;;;;;;
26/01/2001;3.5;8.5;5.6;1;2001;;;;;;
27/01/2001;4.4;8.2;5.7;1;2001;;;;;;
28/01/2001;2.2;8.1;4.5;1;2001;;;;;;
29/01/2001;0.8;6.2;3.4;1;2001;;;;;;
30/01/2001;0.5;4.2;2.3;1;2001;;;;;;
31/01/2001;2.1;4.3;2.8;1;2001;;;;;;
01/02/2001;-3.2;6.1;0.3;2;2001;;;;;;
02/02/2001;-1.3;7.5;4;2;2001;;;;;;
03/02/2001;6;10.7;7.8;2;2001;;;;;;
04/02/2001;6.5;12.5;10.3;2;2001;;;;;;
05/02/2001;8.7;12;10.4;2;2001;;;;;;
06/02/2001;10.4;13.2;11.7;2;2001;;;;;;
07/02/2001;8.2;12;9.9;2;2001;;;;;;
08/02/2001;5.6;9.2;7.2;2;2001;;;;;;
09/02/2001;3.8;8.5;4.8;2;2001;;;;;;
10/02/2001;0.5;11.1;5.4;2;2001;;;;;;
11/02/2001;6.8;14;11.7;2;2001;;;;;;
12/02/2001;8.2;13.3;10.3;2;2001;;;;;;
13/02/2001;5.9;9.4;6.8;2;2001;;;;;;
14/02/2001;0.4;10;4.7;2;2001;;;;;;
15/02/2001;-1.4;11;3.3;2;2001;;;;;;
16/02/2001;1.7;7.2;5.4;2;2001;;;;;;
17/02/2001;5;6.8;5.7;2;2001;;;;;;
18/02/2001;1.8;6.2;3;2;2001;;;;;;
19/02/2001;-0.9;7.1;4.4;2;2001;;;;;;
20/02/2001;3.5;8.1;5.4;2;2001;;;;;;
21/02/2001;2.5;8.9;7;2;2001;;;;;;
22/02/2001;6.6;9.5;8.4;2;2001;;;;;;
23/02/2001;4.5;6.7;6;2;2001;;;;;;
24/02/2001;0.8;4.5;1.9;2;2001;;;;;;
25/02/2001;-2.7;3.4;0.2;2;2001;;;;;;
26/02/2001;0.3;7.8;3.4;2;2001;;;;;;
27/02/2001;0.7;3.9;2.2;2;2001;;;;;;
28/02/2001;-1.2;5;1.8;2;2001;;;;;;
01/03/2001;0.2;4.3;1.8;3;2001;;;;;;
02/03/2001;-2.2;4.4;0.9;3;2001;;;;;;
03/03/2001;-0.2;4.3;1.3;3;2001;;;;;;
04/03/2001;0.2;5;2.5;3;2001;;;;;;
05/03/2001;-0.6;6.4;2.9;3;2001;;;;;;
06/03/2001;1.8;13.4;7.9;3;2001;;;;;;
